Time,Time Code,Country Name,Country Code,"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]"
1960,YR1960,East Asia & Pacific,EAS,..,..
1960,YR1960,Europe & Central Asia,ECS,..,..
1960,YR1960,Latin America & Caribbean,LCN,..,..
1960,YR1960,Middle East & North Africa,MEA,..,..
1960,YR1960,South Asia,SAS,..,..
1960,YR1960,Sub-Saharan Africa,SSF,..,..
1960,YR1960,North America,NAC,..,..
1960,YR1960,World,WLD,..,..
1961,YR1961,East Asia & Pacific,EAS,..,..
1961,YR1961,Europe & Central Asia,ECS,..,..
1961,YR1961,Latin America & Caribbean,LCN,..,..
1961,YR1961,Middle East & North Africa,MEA,..,..
1961,YR1961,South Asia,SAS,..,..
1961,YR1961,Sub-Saharan Africa,SSF,..,..
1961,YR1961,North America,NAC,..,..
1961,YR1961,World,WLD,..,..
1962,YR1962,East Asia & Pacific,EAS,..,..
1962,YR1962,Europe & Central Asia,ECS,..,..
1962,YR1962,Latin America & Caribbean,LCN,..,..
1962,YR1962,Middle East & North Africa,MEA,..,..
1962,YR1962,South Asia,SAS,..,..
1962,YR1962,Sub-Saharan Africa,SSF,..,..
1962,YR1962,North America,NAC,..,..
1962,YR1962,World,WLD,..,..
1963,YR1963,East Asia & Pacific,EAS,..,..
1963,YR1963,Europe & Central Asia,ECS,..,..
1963,YR1963,Latin America & Caribbean,LCN,..,..
1963,YR1963,Middle East & North Africa,MEA,..,..
1963,YR1963,South Asia,SAS,..,..
1963,YR1963,Sub-Saharan Africa,SSF,..,..
1963,YR1963,North America,NAC,..,..
1963,YR1963,World,WLD,..,..
1964,YR1964,East Asia & Pacific,EAS,..,..
1964,YR1964,Europe & Central Asia,ECS,..,..
1964,YR1964,Latin America & Caribbean,LCN,..,..
1964,YR1964,Middle East & North Africa,MEA,..,..
1964,YR1964,South Asia,SAS,..,..
1964,YR1964,Sub-Saharan Africa,SSF,..,..
1964,YR1964,North America,NAC,..,..
1964,YR1964,World,WLD,..,..
1965,YR1965,East Asia & Pacific,EAS,..,..
1965,YR1965,Europe & Central Asia,ECS,..,..
1965,YR1965,Latin America & Caribbean,LCN,..,..
1965,YR1965,Middle East & North Africa,MEA,..,..
1965,YR1965,South Asia,SAS,..,..
1965,YR1965,Sub-Saharan Africa,SSF,..,..
1965,YR1965,North America,NAC,..,..
1965,YR1965,World,WLD,..,..
1966,YR1966,East Asia & Pacific,EAS,..,..
1966,YR1966,Europe & Central Asia,ECS,..,..
1966,YR1966,Latin America & Caribbean,LCN,..,..
1966,YR1966,Middle East & North Africa,MEA,..,..
1966,YR1966,South Asia,SAS,..,..
1966,YR1966,Sub-Saharan Africa,SSF,..,..
1966,YR1966,North America,NAC,..,..
1966,YR1966,World,WLD,..,..
1967,YR1967,East Asia & Pacific,EAS,..,..
1967,YR1967,Europe & Central Asia,ECS,..,..
1967,YR1967,Latin America & Caribbean,LCN,..,..
1967,YR1967,Middle East & North Africa,MEA,..,..
1967,YR1967,South Asia,SAS,..,..
1967,YR1967,Sub-Saharan Africa,SSF,..,..
1967,YR1967,North America,NAC,..,..
1967,YR1967,World,WLD,..,..
1968,YR1968,East Asia & Pacific,EAS,..,..
1968,YR1968,Europe & Central Asia,ECS,..,..
1968,YR1968,Latin America & Caribbean,LCN,..,..
1968,YR1968,Middle East & North Africa,MEA,..,..
1968,YR1968,South Asia,SAS,..,..
1968,YR1968,Sub-Saharan Africa,SSF,..,..
1968,YR1968,North America,NAC,..,..
1968,YR1968,World,WLD,..,..
1969,YR1969,East Asia & Pacific,EAS,..,..
1969,YR1969,Europe & Central Asia,ECS,..,..
1969,YR1969,Latin America & Caribbean,LCN,..,..
1969,YR1969,Middle East & North Africa,MEA,..,..
1969,YR1969,South Asia,SAS,..,..
1969,YR1969,Sub-Saharan Africa,SSF,..,..
1969,YR1969,North America,NAC,..,..
